OBJECTID,Site_Code,latitude,longitude,date,NO3_N_MGL,rain_sum
78392,F11293,54.4956460463006,-6.55310644993735,2011-01-26,1.46,0
78393,F11293,54.4956460463006,-6.55310644993735,2011-02-24,NA,0.7
78394,F11293,54.4956460463006,-6.55310644993735,2011-03-22,0.86,0
78395,F11293,54.4956460463006,-6.55310644993735,2011-04-20,0.28,0.7
78396,F11293,54.4956460463006,-6.55310644993735,2011-05-23,0.22,5.6
78397,F11293,54.4956460463006,-6.55310644993735,2011-06-23,0.05,3.2
78398,F11293,54.4956460463006,-6.55310644993735,2011-07-26,0.05,0
78399,F11293,54.4956460463006,-6.55310644993735,2011-08-22,0.05,0
78400,F11293,54.4956460463006,-6.55310644993735,2011-09-21,0.05,3.9
78401,F11293,54.4956460463006,-6.55310644993735,2011-10-20,0.76,6.4
78402,F11293,54.4956460463006,-6.55310644993735,2011-11-14,0.28,0
78403,F11293,54.4956460463006,-6.55310644993735,2011-12-13,0.96,1.3
78404,F11293,54.4956460463006,-6.55310644993735,2012-01-24,1.1,5.7
78405,F11293,54.4956460463006,-6.55310644993735,2012-02-23,0.92,0
78406,F11293,54.4956460463006,-6.55310644993735,2012-03-20,1.11,0
78407,F11293,54.4956460463006,-6.55310644993735,2012-04-23,0.48,1.2
78408,F11293,54.4956460463006,-6.55310644993735,2012-05-23,0.16,0
78409,F11293,54.4956460463006,-6.55310644993735,2012-06-18,1.37,11.2
78410,F11293,54.4956460463006,-6.55310644993735,2012-07-19,0.08,0
78411,F11293,54.4956460463006,-6.55310644993735,2012-08-16,0.08,8.5
78412,F11293,54.4956460463006,-6.55310644993735,2012-09-12,0.08,6.7
78413,F11293,54.4956460463006,-6.55310644993735,2012-10-10,0.56,0.6
78414,F11293,54.4956460463006,-6.55310644993735,2012-11-06,0.88,0.1
78415,F11293,54.4956460463006,-6.55310644993735,2012-12-03,0.97,1.1
78416,F11294,54.4759607040198,-6.38700188078888,2011-01-24,0.48,0
78417,F11294,54.4759607040198,-6.38700188078888,2011-02-22,0.98,2.7
78418,F11294,54.4759607040198,-6.38700188078888,2011-03-23,0.4,0
78419,F11294,54.4759607040198,-6.38700188078888,2011-04-21,0.18,0
78420,F11294,54.4759607040198,-6.38700188078888,2011-05-24,0.48,0.4
78421,F11294,54.4759607040198,-6.38700188078888,2011-06-20,0.05,0.5
78422,F11294,54.4759607040198,-6.38700188078888,2011-07-20,0.5,0.2
78423,F11294,54.4759607040198,-6.38700188078888,2011-08-18,0.29,1.4
78424,F11294,54.4759607040198,-6.38700188078888,2011-09-19,0.32,3.9
78425,F11294,54.4759607040198,-6.38700188078888,2011-10-18,0.42,0.3
78426,F11294,54.4759607040198,-6.38700188078888,2011-11-16,0.47,4.9
78427,F11294,54.4759607040198,-6.38700188078888,2011-12-15,0.63,0.4
78428,F11294,54.4759607040198,-6.38700188078888,2012-01-23,0.58,0
78429,F11294,54.4759607040198,-6.38700188078888,2012-02-22,0.31,0.5
78430,F11294,54.4759607040198,-6.38700188078888,2012-03-21,0.3,0.2
78431,F11294,54.4759607040198,-6.38700188078888,2012-04-19,0.26,0.3
78432,F11294,54.4759607040198,-6.38700188078888,2012-05-16,0.41,0.3
78433,F11294,54.4759607040198,-6.38700188078888,2012-06-14,0.64,6.1
78434,F11294,54.4759607040198,-6.38700188078888,2012-07-17,0.29,7.5
78435,F11294,54.4759607040198,-6.38700188078888,2012-08-13,0.28,13.8
78436,F11294,54.4759607040198,-6.38700188078888,2012-09-11,0.87,3
78437,F11294,54.4759607040198,-6.38700188078888,2012-10-08,0.27,0
78438,F11294,54.4759607040198,-6.38700188078888,2012-11-08,0.11,0
78439,F11294,54.4759607040198,-6.38700188078888,2012-12-04,0.29,0.3
78440,F11295,54.4646851079587,-6.8744941771927,2013-01-22,0.51,0.2
78441,F11295,54.4646851079587,-6.8744941771927,2013-02-21,NA,0
78442,F11295,54.4646851079587,-6.8744941771927,2013-03-19,0.65,0.9
78443,F11295,54.4646851079587,-6.8744941771927,2013-04-22,0.37,0
78444,F11295,54.4646851079587,-6.8744941771927,2013-05-13,0.5,4.8
78445,F11295,54.4646851079587,-6.8744941771927,2013-06-19,0.44,0
78446,F11295,54.4646851079587,-6.8744941771927,2013-07-18,1.1,0
78447,F11295,54.4646851079587,-6.8744941771927,2013-08-15,0.94,6.4
78448,F11295,54.4646851079587,-6.8744941771927,2013-09-11,0.87,1.9
78449,F11295,54.4646851079587,-6.8744941771927,2013-10-09,0.38,0
78450,F11295,54.4646851079587,-6.8744941771927,2013-11-05,0.77,2.3
78451,F11295,54.4646851079587,-6.8744941771927,2013-12-02,0.67,0
78452,F11295,54.4646851079587,-6.8744941771927,2014-01-29,0.72,2.6
78453,F11295,54.4646851079587,-6.8744941771927,2014-02-25,0.55,1.6
78454,F11295,54.4646851079587,-6.8744941771927,2014-03-31,0.51,2.6
78455,F11295,54.4646851079587,-6.8744941771927,2014-04-23,0.81,1.9
78456,F11295,54.4646851079587,-6.8744941771927,2014-05-19,0.56,7
78457,F11295,54.4646851079587,-6.8744941771927,2014-06-19,1.14,0
78458,F11295,54.4646851079587,-6.8744941771927,2014-07-24,1.03,0
78459,F11295,54.4646851079587,-6.8744941771927,2014-08-21,0.73,3.1
78460,F11295,54.4646851079587,-6.8744941771927,2014-09-17,0.88,0
78461,F11295,54.4646851079587,-6.8744941771927,2014-10-14,0.55,0
78462,F11295,54.4646851079587,-6.8744941771927,2014-11-11,0.98,10.5
78463,F11295,54.4646851079587,-6.8744941771927,2014-12-08,1.22,0.6
78464,F11295,54.4646851079587,-6.8744941771927,2015-02-12,0.77,0
78465,F11295,54.4646851079587,-6.8744941771927,2015-04-27,0.62,3.1
78466,F11295,54.4646851079587,-6.8744941771927,2015-08-11,0.55,0.1
78467,F11295,54.4646851079587,-6.8744941771927,2015-11-04,0.33,0.3
78468,F11296,54.4087491251062,-6.54105949075339,2013-02-01,1.46,0.3
78469,F11296,54.4087491251062,-6.54105949075339,2013-02-21,NA,0
78470,F11296,54.4087491251062,-6.54105949075339,2013-03-19,1.59,1.2
78471,F11296,54.4087491251062,-6.54105949075339,2013-04-22,1.32,0
78472,F11296,54.4087491251062,-6.54105949075339,2013-05-13,1.2,3.4
78473,F11296,54.4087491251062,-6.54105949075339,2013-06-19,1.29,0
78474,F11296,54.4087491251062,-6.54105949075339,2013-07-18,1.68,0
78475,F11296,54.4087491251062,-6.54105949075339,2013-08-15,1.47,9.2
78476,F11296,54.4087491251062,-6.54105949075339,2013-09-11,1.76,1.9
78477,F11296,54.4087491251062,-6.54105949075339,2013-10-09,1.22,0
78478,F11296,54.4087491251062,-6.54105949075339,2013-11-05,2.04,1.6
78479,F11296,54.4087491251062,-6.54105949075339,2013-12-02,2.05,0
78480,F11296,54.4087491251062,-6.54105949075339,2014-01-29,2.89,2.4
78481,F11296,54.4087491251062,-6.54105949075339,2014-02-25,1.71,1.3
78482,F11296,54.4087491251062,-6.54105949075339,2014-03-31,1.71,2.7
78483,F11296,54.4087491251062,-6.54105949075339,2014-04-23,2.34,2.2
78484,F11296,54.4087491251062,-6.54105949075339,2014-05-19,1.81,8.2
78485,F11296,54.4087491251062,-6.54105949075339,2014-06-19,1.76,0
78486,F11296,54.4087491251062,-6.54105949075339,2014-07-24,0.34,0
78487,F11296,54.4087491251062,-6.54105949075339,2014-08-21,1.64,2.6
78488,F11296,54.4087491251062,-6.54105949075339,2014-09-17,1.71,0
78489,F11296,54.4087491251062,-6.54105949075339,2014-10-14,1.62,0
78490,F11296,54.4087491251062,-6.54105949075339,2014-11-11,3.06,11
