Site_Code,latitude,longitude,first_date,last_date
F10001,-7.37907114203945,54.8320262328999,2000-03-16,2009-05-06
F10002,-7.28052140593477,55.0111212741735,1998-07-15,2005-12-07
F10005,-7.29139069094265,54.9957168113962,1998-07-15,2005-12-07
F10006,-7.31393597951458,55.0140810271703,1996-07-23,2005-12-06
F10007,-7.34085738138175,55.0091007870943,1998-07-15,2005-12-07
F10009,-7.31637036552276,55.0115705935316,1998-07-15,2005-12-06
F10010,-7.34022757720219,55.003671819537,1998-07-15,2005-12-07
F10011,-7.3027171732224,55.0011988791913,1996-07-23,2005-12-07
F10012,-7.30630547918486,54.9825263078152,1996-07-23,2005-12-07
F10013,-7.42742899914151,54.8610452350143,1992-07-06,1999-12-10
F10014,-7.404495913312,54.8511974401588,1995-06-02,2018-11-27
F10015,-7.39021607711625,54.8906152406365,2000-03-16,2018-11-27
F10016,-7.2338373405447,54.8279173443935,2000-03-16,2009-05-06
F10017,-7.32047612203015,54.8916732836598,2000-03-16,2009-05-06
F10018,-7.27977380400881,54.8975650474648,2000-03-16,2009-05-06
F10019,-7.20685926835111,54.8253994303424,2000-01-18,2018-07-27
F10020,-7.28596278930465,54.8384848629138,2000-01-18,2018-11-27
F10021,-7.39113168870386,54.8846731903814,2000-01-18,2000-12-07
F10022,-7.41873287812973,54.8896412280149,1990-01-10,2018-12-03
F10023,-7.30077373928501,54.8838002096133,1992-07-06,2018-11-27
F10024,-7.31613592584156,54.8728207613281,1992-07-06,2018-11-27
F10025,-7.54604484851139,54.7930076258427,1990-01-10,2018-12-03
F10026,-7.45437947810056,54.8141619285914,2000-01-18,2018-11-27
F10027,-7.45885860832488,54.7827955914067,2000-03-16,2009-04-09
F10028,-7.46396311679517,54.8245619517763,1990-01-03,2018-12-03
F10029,-7.45418954636892,54.7636588779319,1992-07-06,2018-11-27
F10030,-7.42118500207541,54.7566247954974,1994-04-15,2018-11-27
F10031,-7.49227423038029,54.7207957557188,2000-03-21,2009-04-21
F10032,-7.53836828623067,54.7204321944817,2000-03-21,2009-04-21
F10033,-7.79079202134897,54.6595259422609,2000-03-21,2009-12-10
F10034,-7.72543426071956,54.6778643760609,2000-03-21,2009-04-09
F10035,-7.808080014237,54.7194980892706,2000-01-21,2018-11-29
F10036,-7.76236952061527,54.6550268346553,2000-03-21,2009-04-09
F10037,-7.56150298757213,54.7135383377787,2000-03-21,2009-04-21
F10038,-7.6727957219339,54.7059671359891,2000-03-21,2018-11-29
F10039,-7.51761537570066,54.7182313435036,2000-01-21,2009-12-10
F10040,-7.60081377329327,54.7094073392758,2000-01-21,2009-12-10
F10041,-7.69602494552159,54.7050754843702,2000-01-21,2009-12-10
F10042,-7.4349624922873,54.7343040811326,2000-01-21,2018-11-29
F10043,-7.73639486774772,54.6634170859015,2000-01-21,2018-11-29
F10044,-7.43404025105999,54.7358718111072,1990-01-10,2018-11-29
F10045,-7.5121855624554,54.7077892705038,1992-07-06,2018-11-29
F10046,-7.64371347179929,54.6913505422431,1992-07-06,2015-03-26
F10047,-7.70530318169982,54.6727595839509,1990-01-10,2018-11-29
F10048,-7.67990244798633,54.7017910726612,1990-01-10,2018-11-29
F10049,-7.77522199583168,54.6646902018771,1992-07-06,2018-11-29
F10050,-7.37338902234139,54.7206345104931,1990-02-15,1999-12-02
F10051,-7.09488793075581,54.7785052293647,2000-01-07,2004-08-16
F10052,-7.0165553895658,54.7908941115014,2000-01-07,2009-12-14
F10053,-6.99639401353382,54.7939629522025,2000-01-07,2009-12-14
F10054,-6.95722020417243,54.7961837766628,2000-01-07,2009-12-14
F10055,-7.22193689575004,54.7695144465934,2000-01-07,2009-12-14
F10056,-7.09559181132399,54.6786702505026,2000-03-07,2018-11-19
F10057,-7.08195050393048,54.7815700776712,2000-01-07,2009-12-14
F10058,-6.93979842120502,54.7103312312008,2000-01-07,2018-11-19
F10059,-6.96401077721004,54.7160744420825,2000-01-07,2009-11-27
F10060,-7.26409170553013,54.7266136739772,2000-01-07,2009-11-27
F10061,-7.36351565863786,54.7258112173651,2000-01-07,2018-12-13
F10062,-7.19916904109127,54.7690068895194,2000-03-07,2009-04-23
F10063,-7.16397675840276,54.7652569373578,2000-03-07,2010-10-14
F10064,-7.30478624053991,54.7611245229272,2000-03-07,2009-04-23
F10065,-7.13971092941068,54.7659316198224,2000-03-07,2009-04-28
F10066,-7.02898778426353,54.787832168384,2000-03-07,2009-12-14
F10067,-7.28726862064529,54.757312786831,2000-01-07,2009-12-14
F10068,-7.25792890791316,54.7674134321069,2000-01-07,2009-12-14
F10069,-7.04724141261039,54.6666211512183,2000-03-07,2018-11-19
F10070,-7.02251352347971,54.6521134593818,2000-03-07,2009-04-23
F10071,-7.18928445360182,54.7030943411162,2000-03-07,2009-04-23
F10072,-7.32043606175363,54.7319732750991,1990-01-10,2018-12-13
F10073,-7.18318131941997,54.7157826061207,1992-07-20,2018-11-19
F10074,-7.17563357913503,54.7290985417528,1992-07-20,2018-11-19
